workerid,proliferate.condition,time_in_minutes,error
349,main,2.2557833333333335,NA
148,main,3.5404833333333334,NA
70,main,4.125983333333333,NA
46,main,5.71365,NA
402,main,2.46035,NA
256,main,10.992866666666666,NA
248,main,6.9740166666666665,NA
130,main,4.415166666666667,NA
218,main,4.592133333333333,NA
388,main,5.2737,NA
153,main,3.9932333333333334,NA
147,main,9.807183333333333,NA
211,main,6.45225,NA
236,main,5.645283333333333,NA
382,main,3.1529833333333332,NA
288,main,3.702766666666667,NA
247,main,3.44415,NA
301,main,5.414366666666667,NA
350,main,8.798933333333334,NA
85,main,5.364933333333333,NA
328,main,4.456583333333334,NA
285,main,5.354283333333333,NA
163,main,15.28395,NA
279,main,5.1814,NA
381,main,5.314016666666666,NA
80,main,6.355816666666667,NA
115,main,4.633916666666667,NA
74,main,5.373166666666667,NA
378,main,7.594366666666667,NA
275,main,4.879983333333334,NA
135,main,6.95875,NA
67,main,4.832416666666667,NA
283,main,7.7334,NA
118,main,4.568516666666667,NA
383,main,3.5145833333333334,NA
330,main,8.33025,NA
384,main,4.490683333333333,NA
299,main,4.446233333333334,NA
119,main,5.303966666666667,NA
188,main,4.495933333333333,NA
300,main,4.693066666666667,NA
327,main,4.4961166666666665,NA
50,main,7.818266666666666,NA
49,main,2.7883333333333336,NA
416,main,3.50105,NA
139,main,5.488683333333333,NA
90,main,3.8829666666666665,NA
326,main,7.378633333333333,NA
302,main,2.70765,NA
185,main,4.836116666666666,NA
213,main,3.8444666666666665,NA
334,main,5.27945,NA
428,main,2.0608166666666667,NA
69,main,4.266,NA
226,main,11.910183333333332,NA
407,main,4.05525,NA
51,main,7.1301,NA
45,main,10.8352,NA
125,main,7.08575,NA
380,main,4.1469,NA
238,main,7.4052,NA
78,main,11.4243,NA
169,main,9.64655,NA
141,main,4.652866666666666,NA
215,main,8.795,NA
267,main,6.031266666666666,NA
127,main,7.927133333333333,NA
133,main,4.605033333333333,NA
394,main,4.170933333333333,NA
306,main,5.422316666666666,NA
401,main,3.7529333333333335,NA
294,main,11.633966666666666,NA
63,main,9.821466666666666,NA
200,main,6.49675,NA
193,main,4.7728,NA
137,main,5.260866666666667,NA
161,main,7.07355,NA
171,main,2.35525,NA
251,main,4.526033333333333,NA
94,main,5.465033333333333,NA
372,main,6.420016666666666,NA
265,main,6.890333333333333,NA
379,main,4.918733333333333,NA
206,main,13.8693,NA
181,main,4.989366666666666,NA
351,main,10.278466666666668,NA
59,main,10.669333333333332,NA
91,main,4.808316666666666,NA
190,main,2.3123,NA
405,main,5.732916666666667,NA
128,main,4.54935,NA
116,main,9.703633333333334,NA
175,main,5.47685,NA
166,main,4.075816666666666,NA
87,main,7.347533333333334,NA
120,main,4.160533333333333,NA
